accessionVersion,segment,nt_len,aa_len,identity_to_swiss,aa_differences_in_overlap,compared_aa,frame,orf_start,country,collectionDate,displayName,insdc,host,completeness,length_meta
PP_006VZEA.1,L,6541,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZEA.1,MN258168.1,Homo sapiens,0.9967997561718989,6541
PP_006VZF8.1,L,6543,2153,0.995355,10,2153,2,31,Argentina,,Argentina/PP_006VZF8.1,MN258169.1,Homo sapiens,0.9971045412983847,6543
PP_006VZH3.1,L,6547,2153,0.995355,10,2153,2,31,Argentina,,Argentina/PP_006VZH3.1,MN258171.1,Homo sapiens,0.9977141115513563,6547
PP_006VZJ1.1,L,6541,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZJ1.1,MN258172.1,Homo sapiens,0.9967997561718989,6541
PP_006VZKZ.1,L,6539,2153,0.995355,10,2153,2,31,Argentina,,Argentina/PP_006VZKZ.1,MN258173.1,Homo sapiens,0.996494971045413,6539
PP_006VZLX.1,L,6546,2153,0.995355,10,2153,1,33,Argentina,,Argentina/PP_006VZLX.1,MN258174.1,Homo sapiens,0.9975617189881134,6546
PP_006VZMV.1,L,6531,2153,0.995355,10,2153,2,25,Argentina,,Argentina/PP_006VZMV.1,MN258175.1,Homo sapiens,0.9952758305394697,6531
PP_006VZNT.1,L,6532,2153,0.995355,10,2153,2,25,Argentina,,Argentina/PP_006VZNT.1,MN258176.1,Homo sapiens,0.9954282231027126,6532
PP_006VZPR.1,L,6542,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZPR.1,MN258177.1,Homo sapiens,0.9969521487351417,6542
PP_006VZQP.1,L,6541,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZQP.1,MN258178.1,Homo sapiens,0.9967997561718989,6541
PP_006VZRM.1,L,6533,2153,0.995355,10,2153,2,25,Argentina,,Argentina/PP_006VZRM.1,MN258179.1,Homo sapiens,0.9955806156659555,6533
PP_006VZSK.1,L,6532,2153,0.995355,10,2153,2,25,Argentina,,Argentina/PP_006VZSK.1,MN258180.1,Homo sapiens,0.9954282231027126,6532
PP_006VZTH.1,L,6542,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZTH.1,MN258181.1,Homo sapiens,0.9969521487351417,6542
PP_006VZUF.1,L,6539,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZUF.1,MN258182.1,Homo sapiens,0.996494971045413,6539
PP_006VZVD.1,L,6542,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZVD.1,MN258183.1,Homo sapiens,0.9969521487351417,6542
PP_006VZWB.1,L,6542,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZWB.1,MN258184.1,Homo sapiens,0.9966473636086559,6542
PP_006VZX9.1,L,6546,2153,0.995355,10,2153,2,31,Argentina,,Argentina/PP_006VZX9.1,MN258185.1,Homo sapiens,0.9975617189881134,6546
PP_006VZY7.1,L,6546,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZY7.1,MN258186.1,Homo sapiens,0.9972569338616275,6546
PP_006VZZ5.1,L,6543,2153,0.995355,10,2153,1,30,Argentina,,Argentina/PP_006VZZ5.1,MN258187.1,Homo sapiens,0.9971045412983847,6543
PP_006W001.1,L,6549,2153,0.995355,10,2153,3,35,Argentina,,Argentina/PP_006W001.1,MN258188.1,Homo sapiens,0.9980188966778422,6549
PP_006VZ7Q.1,L,6548,2153,0.995353,10,2152,3,32,Argentina,,Argentina/PP_006VZ7Q.1,MN258161.1,Homo sapiens,0.9977141115513563,6548
PP_006VZ9L.1,L,6529,2153,0.995347,10,2149,3,23,Argentina,,Argentina/PP_006VZ9L.1,MN258163.1,Homo sapiens,0.9939042974702834,6529
PP_006VZG6.1,L,6531,2153,0.995323,10,2138,1,24,Argentina,,Argentina/PP_006VZG6.1,MN258170.1,Homo sapiens,0.9890277354465102,6531
PP_006VZ8N.1,L,6528,2153,0.995272,10,2115,2,25,Argentina,,Argentina/PP_006VZ8N.1,MN258162.1,Homo sapiens,0.9775982932032917,6528
PP_006W07M.1,L,6464,2153,0.994891,11,2153,3,2,,,PP_006W07M.1,MN850093.1,,0.9850655288021944,6464
PP_006W08K.1,L,6562,2153,0.994891,11,2153,3,35,,,PP_006W08K.1,MN850094.1,,1.0,6562
PP_006W09H.1,L,6528,2153,0.994891,11,2153,3,23,,,PP_006W09H.1,MN850095.1,,0.9948186528497409,6528
PP_006W0AF.1,L,6531,2153,0.994891,11,2153,2,25,,,PP_006W0AF.1,MN850096.1,,0.9952758305394697,6531
PP_006W2C9.1,L,6477,2147,0.994877,11,2147,2,34,Argentina,2022,Argentina/PP_006W2C9.1/2022,PQ215670.1,,0.9870466321243523,6477
PP_006VNZG.1,L,6562,2153,0.994426,12,2153,3,35,,,PP_006VNZG.1,AF291704.5,,1.0,6562
PP_006W0BD.1,L,6532,2153,0.994426,12,2153,2,25,,,PP_006W0BD.1,MN850097.1,,0.9954282231027126,6532
PP_006W0E7.1,L,6562,2153,0.994426,12,2153,3,35,,,PP_006W0E7.1,NC_003468.2,,1.0,6562
PP_006W0D9.1,L,6563,2153,0.993497,14,2153,3,35,Chile,1997,Chile/PP_006W0D9.1/1997,MT956621.1,Oligoryzomys longicaudatus,1.0,6563
PP_006VQHC.1,L,6466,2152,0.99303,15,2152,3,8,Chile,,Chile/PP_006VQHC.1,AY228239.1,Homo sapiens,0.9852179213654374,6466
PP_006W21X.1,L,6482,2149,0.952071,103,2149,3,35,Argentina,2002,Argentina/PP_006W21X.1/2002,PP151166.1,Homo sapiens,0.9878085949405669,6482
PP_006W24R.1,L,6473,2146,0.952004,103,2146,1,33,Argentina,2002,Argentina/PP_006W24R.1/2002,PP151169.1,Homo sapiens,0.9864370618713807,6473
PP_006W25P.1,L,6443,2139,0.951847,103,2139,2,25,Argentina,2002,Argentina/PP_006W25P.1/2002,PP151170.1,Homo sapiens,0.9818652849740933,6443
PP_006W22V.1,L,6443,2139,0.951379,104,2139,2,25,Argentina,2002,Argentina/PP_006W22V.1/2002,PP151167.1,Homo sapiens,0.9818652849740933,6443
PP_006W23T.1,L,6443,2139,0.951379,104,2139,2,25,Argentina,2002,Argentina/PP_006W23T.1/2002,PP151168.1,Homo sapiens,0.9818652849740933,6443
PP_006W26M.1,L,6443,2139,0.951379,104,2139,2,25,Argentina,2016,Argentina/PP_006W26M.1/2016,PP151171.1,Homo sapiens,0.9818652849740933,6443
PP_006W0UC.1,L,6443,2139,0.950444,106,2139,2,25,Argentina,,Argentina/PP_006W0UC.1,OP555736.1,Homo sapiens,0.9818652849740933,6443
PP_006W20Z.1,L,6443,2139,0.950444,106,2139,2,25,Argentina,2002,Argentina/PP_006W20Z.1/2002,PP151165.1,Homo sapiens,0.9818652849740933,6443
PP_006W1V9.1,L,6540,2153,0.948444,111,2153,1,30,Argentina,1998,Argentina/PP_006W1V9.1/1998,PP058737.1,,0.996494971045413,6540
PP_006W27K.1,L,6563,2153,0.94798,112,2153,1,33,Argentina,2019,Argentina/PP_006W27K.1/2019,PP151172.1,Homo sapiens,0.9989332520572997,6563
PP_006W0VA.1,L,6538,2153,0.947515,113,2153,3,11,Brazil,2022-12-09,Brazil/PP_006W0VA.1/2022-12-09,OQ092243.1,Homo sapiens,0.9986284669308138,6538
PP_006W1RH.1,L,6558,2153,0.946122,116,2153,3,29,Argentina,2018,Argentina/PP_006W1RH.1/2018,PP003836.1,Homo sapiens,0.9980188966778422,6558
PP_006W1SF.1,L,6587,2153,0.943335,122,2153,2,31,Argentina,2018,Argentina/PP_006W1SF.1/2018,PP003837.1,Homo sapiens,0.9993904297470283,6587
PP_006W1X5.1,L,6623,2153,0.936832,136,2153,1,105,Argentina,1990,Argentina/PP_006W1X5.1/1990,PP058739.1,Necromys sp.,0.9987808594940567,6623
PP_006W1W7.1,L,6537,2153,0.900139,215,2153,3,23,Paraguay,1997,Paraguay/PP_006W1W7.1/1997,PP058738.1,Calomys laucha,0.996494971045413,6537
PP_006VQ9V.1,L,431,110,0.644737,27,76,1,33,,,PP_006VQ9V.1,AH011553.2,,0.9844559585492227,431
PP_006VT18.1,L,6562,148,0.087838,135,148,3,1349,,,PP_006VT18.1,FV536442.1,,1.0,6562
PP_006VVCJ.1,L,6562,148,0.087838,135,148,3,1349,,,PP_006VVCJ.1,FV536443.1,,1.0,6562
PP_006W2AD.1,L,3892,1271,0.065354,1187,1270,2,79,Argentina,2002,Argentina/PP_006W2AD.1/2002,PP504849.1,Homo sapiens,0.5928070710149345,3892
PP_006W6RC.2,L,6456,2112,0.063618,1884,2012,1,69,Netherlands,2026-05-03,Netherlands/PP_006W6RC.2/2026-05-03,,Homo sapiens,0.9384334044498629,6456
PP_006W2E5.1,L,1675,557,0.062837,522,557,2,4,Argentina,2024,Argentina/PP_006W2E5.1/2024,PQ373861.1,Homo sapiens,0.2552575434318805,1675
PP_006XDHK.2,L,6409,2103,0.062711,1943,2073,3,98,Canada,2026-05-15,Canada/PP_006XDHK.2/2026-05-15,,Homo sapiens,0.962968607131972,6409
PP_006W3U9.2,L,6470,2112,0.0625,1980,2112,2,79,Netherlands,2026-05-06,Netherlands/PP_006W3U9.2/2026-05-06,,Homo sapiens,0.9859798841816519,6470
PP_006W0W8.1,L,6244,2050,0.061981,1922,2049,1,93,Switzerland,2022,Switzerland/PP_006W0W8.1/2022,OR405522.1,Homo sapiens,0.9513867723255105,6244
PP_006XDJH.2,L,6367,2103,0.061884,1713,1826,3,56,Canada,2026-05-15,Canada/PP_006XDJH.2/2026-05-15,,Homo sapiens,0.8450167631819567,6367
PP_006W0X6.1,L,5924,1908,0.058176,1797,1908,2,199,Switzerland,2016,Switzerland/PP_006W0X6.1/2016,OR405523.1,Homo sapiens,0.902773544651021,5924
PP_006VX06.1,L,572,190,0.057895,179,190,2,1,Peru,2010,Peru/PP_006VX06.1/2010,KF581136.1,Neacomys spinosus,0.08716854617494667,572
PP_006VP2A.1,L,606,167,0.047904,159,167,1,105,,,PP_006VP2A.1,AF324900.1,,0.09234989332520573,606
PP_006W6RC.2,M,3633,1138,1.0,0,1138,2,37,Netherlands,2026-05-03,Netherlands/PP_006W6RC.2/2026-05-03,,Homo sapiens,0.9874693543993462,3633
PP_006WBLH.2,M,3649,1138,1.0,0,1138,2,43,Switzerland,2026-05-04,Switzerland/PP_006WBLH.2/2026-05-04,PZ385162.1,Homo sapiens,0.9940070825388178,3649
PP_006XBKH.1,M,3654,1138,1.0,0,1138,2,49,France,2026-05-10,France/PP_006XBKH.1/2026-05-10,,Homo sapiens,0.9942794878779624,3654
PP_006VT0A.1,M,489,163,1.0,0,163,1,0,Chile,,Chile/PP_006VT0A.1,EU241644.1,Oligoryzomys longicaudatus,0.1332062108417325,489
PP_006VT42.1,M,490,163,1.0,0,163,1,0,Chile,,Chile/PP_006VT42.1,EU241647.1,Oligoryzomys longicaudatus,0.13347861618087714,490
PP_006W06P.1,M,540,79,1.0,0,79,1,51,Chile,2012-11,Chile/PP_006W06P.1/2012-11,MN807444.1,Homo sapiens,0.1470988831381095,540
PP_006VZ4W.1,M,3655,1138,0.998243,2,1138,3,47,Argentina,,Argentina/PP_006VZ4W.1,MN258191.1,Homo sapiens,0.9934622718605285,3655
PP_006W0QL.1,M,3652,1138,0.998243,2,1138,1,48,Argentina,,Argentina/PP_006W0QL.1,OP555725.1,,0.9948242985562517,3652
PP_006W0RJ.1,M,3661,1138,0.998243,2,1138,1,48,Argentina,,Argentina/PP_006W0RJ.1,OP555726.1,,0.9972759466085536,3661
PP_006W0TE.1,M,3651,1138,0.998243,2,1138,3,41,Argentina,,Argentina/PP_006W0TE.1,OP555729.1,Mesocricetus auratus,0.994551893217107,3651
PP_006W2F3.1,M,3657,1138,0.998243,2,1138,3,44,Chile,2024-06-27,Chile/PP_006W2F3.1/2024-06-27,PV796317.1,Homo sapiens,0.9961863252519749,3657
PP_006W2G1.1,M,3654,1138,0.998243,2,1138,2,43,Chile,2024-06-27,Chile/PP_006W2G1.1/2024-06-27,PV808468.1,Homo sapiens,0.995369109234541,3654
PP_006W2JW.1,M,3664,1138,0.998243,2,1138,3,44,Chile,2024-07-24,Chile/PP_006W2JW.1/2024-07-24,PV808474.1,Homo sapiens,0.9980931626259875,3664
PP_006W2KU.1,M,3659,1138,0.998243,2,1138,2,46,Chile,2024-07-30,Chile/PP_006W2KU.1/2024-07-30,PV808477.1,Homo sapiens,0.9967311359302642,3659
PP_006W0PN.1,M,3555,1138,0.998205,2,1114,1,24,Argentina,,Argentina/PP_006W0PN.1,OP555724.1,Oligoryzomys longicaudatus,0.9515118496322528,3555
PP_006VZ5U.1,M,3658,1138,0.997364,3,1138,2,49,Argentina,,Argentina/PP_006VZ5U.1,MN258192.1,Homo sapiens,0.9942794878779624,3658
PP_006W0SG.1,M,3660,1138,0.997364,3,1138,1,48,Argentina,,Argentina/PP_006W0SG.1,OP555727.1,,0.9970035412694089,3660
PP_006W05R.1,M,2031,677,0.997046,2,677,1,0,Chile,2012-11,Chile/PP_006W05R.1/2012-11,MN807443.1,Homo sapiens,0.5532552438027786,2031
PP_006VWNW.1,M,3668,1138,0.995606,5,1138,1,48,Switzerland,2016-12-23,Switzerland/PP_006VWNW.1/2016-12-23,KY604962.1,Homo sapiens,0.9991827839825661,3668
PP_006W0X6.1,M,3606,1138,0.995606,5,1138,2,22,Switzerland,2016,Switzerland/PP_006W0X6.1/2016,OR405524.1,Homo sapiens,0.9822936529555979,3606
PP_006VLCT.1,M,592,191,0.994764,1,191,3,17,,,PP_006VLCT.1,AF004659.1,,0.16126396077363117,592
PP_006VLHG.1,M,592,191,0.994764,1,191,3,17,,,PP_006VLHG.1,AF005944.1,,0.16126396077363117,592
PP_006W0CB.1,M,3641,1138,0.994728,6,1138,1,33,Chile,1999,Chile/PP_006W0CB.1/1999,MT956619.1,Homo sapiens,0.9918278398256606,3641
PP_006W2HY.1,M,3670,1138,0.994728,6,1138,3,50,Chile,1999,Chile/PP_006W2HY.1/1999,PV808471.1,Homo sapiens,0.9997275946608554,3670
PP_006VSYE.1,M,490,163,0.993865,1,163,1,0,Chile,,Chile/PP_006VSYE.1,EU241642.1,Oligoryzomys longicaudatus,0.13347861618087714,490
PP_006VT26.1,M,490,163,0.993865,1,163,1,0,Chile,,Chile/PP_006VT26.1,EU241645.1,Oligoryzomys longicaudatus,0.13347861618087714,490
PP_006VT34.1,M,490,163,0.993865,1,163,1,0,Chile,,Chile/PP_006VT34.1,EU241646.1,Oligoryzomys longicaudatus,0.13347861618087714,490
PP_006VT50.1,M,490,163,0.993865,1,163,1,0,Chile,,Chile/PP_006VT50.1,EU241648.1,Oligoryzomys longicaudatus,0.13347861618087714,490
PP_006VT6Y.1,M,489,163,0.993865,1,163,1,0,Chile,,Chile/PP_006VT6Y.1,EU241649.1,Oligoryzomys longicaudatus,0.1332062108417325,489
PP_006VZ3Y.1,M,3646,1138,0.993849,7,1138,2,43,Argentina,,Argentina/PP_006VZ3Y.1,MN258190.1,Homo sapiens,0.9910106238082267,3646
PP_006W0AF.1,M,3643,1138,0.993849,7,1138,3,41,,,PP_006W0AF.1,MN850091.1,,0.9923726505039498,3643
PP_006W0W8.1,M,3425,1134,0.993816,7,1132,2,22,Switzerland,2022,Switzerland/PP_006W0W8.1/2022,OR405521.1,Homo sapiens,0.9324434758921275,3425
PP_006W01Z.1,M,3386,1115,0.993157,7,1023,3,41,Argentina,,Argentina/PP_006W01Z.1,MN258215.1,Homo sapiens,0.8493598474530101,3386
PP_006VP2A.1,M,3668,1138,0.99297,8,1138,1,48,,,PP_006VP2A.1,AF324901.2,,0.9991827839825661,3668
PP_006VZ6S.1,M,3650,1138,0.992091,9,1138,2,43,Argentina,,Argentina/PP_006VZ6S.1,MN258193.1,Homo sapiens,0.9921002451648052,3650
PP_006W07M.1,M,3639,1138,0.992091,9,1138,1,45,,,PP_006W07M.1,MN850088.1,,0.9891037864342141,3639
PP_006W08K.1,M,3679,1138,0.992091,9,1138,1,51,,,PP_006W08K.1,MN850089.1,,1.0,3679
PP_006W09H.1,M,3643,1138,0.992091,9,1138,3,41,,,PP_006W09H.1,MN850090.1,,0.9901934077907927,3643
PP_006VNZG.1,M,3671,1138,0.991213,10,1138,1,51,,,PP_006VNZG.1,AF291703.2,,1.0,3671
PP_006VQN2.1,M,3671,1138,0.991213,10,1138,1,51,,,PP_006VQN2.1,DL139691.1,,1.0,3671
PP_006VQYG.1,M,3671,1138,0.991213,10,1138,1,51,,,PP_006VQYG.1,DI161196.1,,1.0,3671
PP_006VVUK.1,M,3671,1138,0.991213,10,1138,1,51,,,PP_006VVUK.1,HV984408.1,,1.0,3671
PP_006VYEB.1,M,3417,1138,0.991213,10,1138,1,0,,,PP_006VYEB.1,MN095801.1,,0.9308090438572596,3417
PP_006VYH4.1,M,3417,1138,0.991213,10,1138,1,0,,,PP_006VYH4.1,MN095804.1,,0.9308090438572596,3417
PP_006VZ20.1,M,3667,1138,0.991213,10,1138,2,49,Argentina,,Argentina/PP_006VZ20.1,MN258189.1,Homo sapiens,0.9964587305911196,3667
PP_006VZ8N.1,M,3639,1138,0.991213,10,1138,1,39,Argentina,,Argentina/PP_006VZ8N.1,MN258195.1,Homo sapiens,0.9891037864342141,3639
PP_006VZ9L.1,M,3645,1138,0.991213,10,1138,3,41,Argentina,,Argentina/PP_006VZ9L.1,MN258196.1,Homo sapiens,0.9907382184690819,3645
PP_006VZAJ.1,M,3655,1138,0.991213,10,1138,3,47,Argentina,,Argentina/PP_006VZAJ.1,MN258197.1,Homo sapiens,0.9934622718605285,3655
PP_006VZBG.1,M,3657,1138,0.991213,10,1138,2,49,Argentina,,Argentina/PP_006VZBG.1,MN258198.1,Homo sapiens,0.9940070825388178,3657
PP_006VZCE.1,M,3658,1138,0.991213,10,1138,1,48,Argentina,,Argentina/PP_006VZCE.1,MN258199.1,Homo sapiens,0.9942794878779624,3658
PP_006VZDC.1,M,3633,1138,0.991213,10,1138,3,38,Argentina,,Argentina/PP_006VZDC.1,MN258200.1,Homo sapiens,0.9874693543993462,3633
PP_006VZEA.1,M,3651,1138,0.991213,10,1138,3,41,Argentina,,Argentina/PP_006VZEA.1,MN258201.1,Homo sapiens,0.9923726505039498,3651
PP_006VZF8.1,M,3659,1138,0.991213,10,1138,2,49,Argentina,,Argentina/PP_006VZF8.1,MN258202.1,Homo sapiens,0.994551893217107,3659
PP_006VZG6.1,M,3633,1138,0.991213,10,1138,3,38,Argentina,,Argentina/PP_006VZG6.1,MN258203.1,Homo sapiens,0.9874693543993462,3633
PP_006VZH3.1,M,3656,1138,0.991213,10,1138,1,48,Argentina,,Argentina/PP_006VZH3.1,MN258204.1,Homo sapiens,0.9937346771996731,3656
PP_006VZJ1.1,M,3654,1138,0.991213,10,1138,2,46,Argentina,,Argentina/PP_006VZJ1.1,MN258205.1,Homo sapiens,0.9931898665213839,3654
PP_006VZKZ.1,M,3655,1138,0.991213,10,1138,1,48,Argentina,,Argentina/PP_006VZKZ.1,MN258206.1,Homo sapiens,0.9934622718605285,3655
PP_006VZLX.1,M,3661,1138,0.991213,10,1138,2,49,Argentina,,Argentina/PP_006VZLX.1,MN258207.1,Homo sapiens,0.9950967038953964,3661
PP_006VZMV.1,M,3646,1138,0.991213,10,1138,2,43,Argentina,,Argentina/PP_006VZMV.1,MN258208.1,Homo sapiens,0.9910106238082267,3646
PP_006VZNT.1,M,3652,1138,0.991213,10,1138,2,43,Argentina,,Argentina/PP_006VZNT.1,MN258209.1,Homo sapiens,0.9926450558430945,3652
PP_006VZPR.1,M,3654,1138,0.991213,10,1138,3,47,Argentina,,Argentina/PP_006VZPR.1,MN258210.1,Homo sapiens,0.9931898665213839,3654
PP_006VZQP.1,M,3654,1138,0.991213,10,1138,2,46,Argentina,,Argentina/PP_006VZQP.1,MN258211.1,Homo sapiens,0.9931898665213839,3654
PP_006VZRM.1,M,3647,1138,0.991213,10,1138,3,44,Argentina,,Argentina/PP_006VZRM.1,MN258212.1,Homo sapiens,0.9912830291473713,3647
PP_006VZSK.1,M,3647,1138,0.991213,10,1138,2,46,Argentina,,Argentina/PP_006VZSK.1,MN258213.1,Homo sapiens,0.9912830291473713,3647
PP_006VZTH.1,M,3665,1138,0.991213,10,1138,3,47,Argentina,,Argentina/PP_006VZTH.1,MN258214.1,Homo sapiens,0.9961863252519749,3665
PP_006VZUF.1,M,3654,1138,0.991213,10,1138,3,47,Argentina,,Argentina/PP_006VZUF.1,MN258216.1,Homo sapiens,0.9931898665213839,3654
PP_006VZVD.1,M,3659,1138,0.991213,10,1138,3,47,Argentina,,Argentina/PP_006VZVD.1,MN258217.1,Homo sapiens,0.994551893217107,3659
PP_006VZWB.1,M,3649,1138,0.991213,10,1138,3,41,Argentina,,Argentina/PP_006VZWB.1,MN258218.1,Homo sapiens,0.9918278398256606,3649
PP_006VZX9.1,M,3669,1138,0.991213,10,1138,1,51,Argentina,,Argentina/PP_006VZX9.1,MN258219.1,Homo sapiens,0.9972759466085536,3669
PP_006VZY7.1,M,3655,1138,0.991213,10,1138,3,47,Argentina,,Argentina/PP_006VZY7.1,MN258220.1,Homo sapiens,0.9934622718605285,3655
PP_006VZZ5.1,M,3654,1138,0.991213,10,1138,2,46,Argentina,,Argentina/PP_006VZZ5.1,MN258221.1,Homo sapiens,0.9931898665213839,3654
PP_006W001.1,M,3669,1138,0.991213,10,1138,1,51,Argentina,,Argentina/PP_006W001.1,MN258222.1,Homo sapiens,0.9972759466085536,3669
PP_006W0D9.1,M,3671,1138,0.991213,10,1138,1,51,Chile,1997,Chile/PP_006W0D9.1/1997,MT956623.1,Oligoryzomys longicaudatus,1.0,3671
PP_006W0E7.1,M,3671,1138,0.991213,10,1138,1,51,,,PP_006W0E7.1,NC_003467.2,,1.0,3671
PP_006W2C9.1,M,3647,1138,0.991213,10,1138,1,42,Argentina,2022,Argentina/PP_006W2C9.1/2022,PQ215669.1,,0.9912830291473713,3647
PP_006VXPT.1,M,3417,1138,0.990334,11,1138,1,0,,,PP_006VXPT.1,MK059784.1,,0.9308090438572596,3417
PP_006VY05.1,M,3417,1138,0.990334,11,1138,1,0,,,PP_006VY05.1,MK513889.1,,0.9308090438572596,3417
PP_006VY21.1,M,3417,1138,0.990334,11,1138,1,0,,,PP_006VY21.1,MK513891.1,,0.9308090438572596,3417
PP_006VY6T.1,M,3417,1138,0.990334,11,1138,1,0,,,PP_006VY6T.1,MK513895.1,,0.9308090438572596,3417
PP_006VY7R.1,M,3417,1138,0.990334,11,1138,1,0,,,PP_006VY7R.1,MK513896.1,,0.9308090438572596,3417
PP_006VYAK.1,M,3417,1138,0.990334,11,1138,1,0,,,PP_006VYAK.1,MK513899.1,,0.9308090438572596,3417
PP_006VYQQ.1,M,3417,1138,0.990334,11,1138,1,0,,,PP_006VYQQ.1,MN095811.1,,0.9308090438572596,3417
PP_006VYRN.1,M,3417,1138,0.990334,11,1138,1,0,,,PP_006VYRN.1,MN095812.1,,0.9308090438572596,3417
PP_006VYTJ.1,M,3418,1138,0.990334,11,1138,2,1,,,PP_006VYTJ.1,MN095814.1,,0.9310814491964042,3418
PP_006VYVE.1,M,3418,1138,0.990334,11,1138,2,1,,,PP_006VYVE.1,MN095816.1,,0.9310814491964042,3418
PP_006VYXA.1,M,3417,1138,0.990334,11,1138,1,0,,,PP_006VYXA.1,MN095818.1,,0.9308090438572596,3417
PP_006VZ04.1,M,3417,1138,0.990334,11,1138,1,0,,,PP_006VZ04.1,MN095821.1,,0.9308090438572596,3417
